"gene";"mean";"sd";"se"
"MTMR11";6.99242804434228e-06;7.79932478238204e-06;1.0842927303636e-10
"MTMR4";-7.91238555916142e-07;1.92091577090718e-05;3.61766910261551e-10
"MTMR7";-1.31754959365991e-05;1.56524356292625e-05;4.13379695130606e-10
"MTMR9L";1.22396472273464e-05;3.82007830914122e-05;1.57805986051941e-09
"MTOR";4.0477052060605e-05;9.57340388379547e-05;1.06083978039944e-08
"MTP18";3.63654688287233e-05;7.09502186019612e-05;6.24927587429539e-09
"MTSS1L";1.98150952609231e-06;2.26362002937388e-05;5.05421867916039e-10
"MTUS2";5.43944588266978e-05;0.000178104157520173;3.40049312488079e-08
"MTX2";0.000100594948744817;6.40909335751735e-05;1.41395947185194e-08
"MUC1";2.36545006736757e-05;8.25674884405536e-05;7.23187469530228e-09
"MUC12";-6.50115320128323e-05;0.000110564965944699;1.61910128678515e-08
"MUC15";3.11945685882194e-05;1.8365746434949e-05;1.30322514211131e-09
"MUC16";-6.0669879751787e-05;6.30309230797546e-05;7.56920184435487e-09
"MUC2";-1.93015796040231e-06;6.69842292334123e-06;4.76397226107723e-11
"MUC20";6.5079161584867e-05;0.000117114413795331;1.7659257958902e-08
"MUC4";-4.4751811103063e-05;0.000106547092565766;1.31134695964516e-08
"MUC6";5.5512580200553e-05;0.000126422558332263;1.87242531507915e-08
"MUC7";-3.34550820649319e-07;1.26465327000064e-06;1.67724346633909e-12
"MUCL1";1.92638073539153e-05;7.21482391148915e-05;5.46571016184238e-09
"MUM1";0.00037013581253379;0.000251051806702768;1.98686529163481e-07
"MUM1L1";-1.21325512743268e-05;2.07861427896331e-05;5.70069687131971e-10
"MURC";-0.000508725796000485;0.000787166965154405;8.65250110567354e-07
"MUS81";0.000114324437570765;0.00016067299491716;3.83366157407629e-08
"MUSTN1";8.29810985202838e-05;4.95251982337222e-05;9.28642190235892e-09
"MUTYH";0.000205106512012461;0.000114050200891706;5.47993753737086e-08
"MVD";-0.000175576360498486;0.000407825117600299;1.9360963328296e-07
"MVP";5.8341743895746e-05;7.65513150591592e-05;9.13917985771567e-09
"MX2";7.42350596907824e-05;0.000130301672540503;2.21281247229368e-08
"MXD1";8.88094327541711e-06;1.533784688354e-05;3.09115390972969e-10
"MXD3";-3.93114530212239e-05;0.000265059687469398;7.03072061765815e-08
"MXI1";0.000326469770677896;0.000248111554357054;1.66832081308005e-07
"MXRA7";-3.8937683422235e-05;3.28910746781864e-05;2.57494847753185e-09
"MYADM";-0.00014516471865624;0.00010821398591787;3.25339076791136e-08
"MYADML2";1.44217728504524e-06;1.8983218461421e-05;3.54775169472258e-10
"MYB";-0.000230730773526312;0.000333865533533556;1.62331263174512e-07
"MYBL1";-0.000423053473656857;0.000560324595032634;4.86257815673778e-07
"MYBPC1";6.63029211368327e-05;0.000102921668576872;1.47635670040809e-08
"MYC";-2.95589777497799e-05;7.3398018550409e-05;6.1463795453525e-09
"MYCL1";0.000196561053986924;0.000375135607404121;1.76368786271112e-07
"MYCN";0.000182369422715486;0.000137462849577922;5.17525980574899e-08
"MYD88";-3.394770833893e-05;0.000125598753997358;1.65918546091606e-08
"MYEF2";-0.000130460390071635;8.83678764546021e-05;2.46626485499496e-08
